id,ndex,name,type1,type2,ability1,ability2,spec_ability,hp,attack,defense,spattack,spdefense,speed,weight,height,dex1,dex2,class,pre-evolution,egg-group1,egg-group2
65,65,Alakazam,Psychic,,Synchronize,Inner Focus,Magic Guard,55,50,45,135,95,120,105.8,59,"It is said to have an IQ of approximately 5,000. Its overflowing psychokinetic powers cause headaches to anyone nearby.","Its brain cells continue to increase in number until its death. The older the Alakazam, the larger its head.",Psi Pokemon,Kadabra,Human-Like,
66,66,Machop,Fighting,,Guts,No Guard,Steadfast,70,80,50,35,35,35,43,31,"It loves working out. As it gazes at its muscles, which continue to swell day by day, it becomes more and more dedicated to its training.","With its superhuman strength, it's able to throw a hundred people all at the same time. Its strength comes from lifting Graveler every day.",Superpower Pokemon,,Human-Like,
67,67,Machoke,Fighting,,Guts,No Guard,Steadfast,80,100,70,50,60,45,155.4,59,"As a result of its continual workouts, it has developed tremendous power. It uses that power to help people with their work.",It willingly assists with hard labor because it knows the work is good training for its muscles.,Superpower Pokemon,Machop,Human-Like,
68,68,Machamp,Fighting,,Guts,No Guard,Steadfast,90,130,80,65,85,55,286.6,63,It unleashes megaton-level punches that send opponents flying clear over the horizon.,It can lift heavy loads with the greatest of ease. It can even heft dump trucks. But its clumsy fingers prevent it from doing any precision work.,Superpower Pokemon,Machoke,Human-Like,
69,69,Bellsprout,Grass,Poison,Chlorophyll,,Gluttony,50,75,35,70,30,40,8.8,28,,,Flower Pokemon,,Grass,
70,70,Weepinbell,Grass,Poison,Chlorophyll,,Gluttony,65,90,50,85,45,55,14.1,39,,,Flycatcher Pokemon,Bellsprout,Grass,
71,71,Victreebel,Grass,Poison,Chlorophyll,,Gluttony,80,105,65,100,70,70,34.2,67,,,Flycatcher Pokemon,Weepinbell,Grass,
72,72,Tentacool,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,40,40,35,50,100,70,100.3,35,"They can be found lying dehydrated on beaches, but they are often still alive. When soaked in water, they will revive.","It drifts in shallow seas, such as the areas near beaches. If you get bitten or stabbed by its toxic tentacles, rush to the hospital.",Jellyfish Pokemon,,Water 3,
73,73,Tentacruel,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,80,70,65,80,120,100,121.3,63,"Normally, it has 80 poisonous tentacles. The longer one has been alive, the fewer tentacles it will have.","Although these Pokemon are rare, when a large outbreak of them occurs, all fish Pokemon disappear from the surrounding sea.",Jellyfish Pokemon,Tentacool,Water 3,
74,74,Geodude,Rock,Ground,Rock Head,Sturdy,Sand Veil,40,80,100,30,30,20,44.1,16,"Its round body makes it easy to pick up, but it is hard and heavy. It's dangerous to play with them as if they were snowballs.",There are plenty of them to be found along any road. A scholar with too much free time once counted a hundred of them along a single route.,Rock Pokemon,,Mineral,
75,75,Graveler,Rock,Ground,Rock Head,Sturdy,Sand Veil,55,95,115,45,45,35,231.5,39,Mossy rocks are its favorite food. It can devour a ton a day while crunching loudly.,"This slow-footed Pokemon moves by curling up and rolling instead of walking. With enough momentum, its speed can exceed 60 mph.",Rock Pokemon,Geodude,Mineral,
76,76,Golem,Rock,Ground,Rock Head,Sturdy,Sand Veil,80,120,130,55,65,45,661.4,55,"Its body can survive dynamite blasts without a single scratch, but it hates rain and humidity.","Once a year, this Pokemon molts, and its shed shell returns to the soil. This process creates enriched soil, so farmers collect the shells.",Megaton Pokemon,Graveler,Mineral,
77,77,Ponyta,Fire,,Run Away,Flash Fire,Flame Body,50,85,55,65,65,90,66.1,39,,,Fire Horse Pokemon,,Field,
78,78,Rapidash,Fire,,Run Away,Flash Fire,Flame Body,65,100,70,80,80,105,209.4,67,,,Fire Horse Pokemon,Ponyta,Field,
79,79,Slowpoke,Water,Psychic,Oblivious,Own Tempo,Regenerator,90,65,65,40,40,15,79.4,47,"Its long tail often breaks off. It doesn't really feel any pain, though, and the tail grows back, so Slowpoke isn't particularly bothered.",Alolan home cooking involves drying Slowpoke tails and then simmering them into a salty stew.,Dopey Pokemon,,Monster,Water 1
80,80,Slowbro,Water,Psychic,Oblivious,Own Tempo,Regenerator,95,75,110,100,80,30,173.1,63,"It spaces out while gazing at the sea. With Shellder's poison flowing through its body, it becomes even spacier.","Whenever Shellder bites down hard on its tail, it gives Slowbro a flash of inspiration...which it forgets a moment later.",Hermit Crab Pokemon,Slowpoke,Monster,Water 1
81,81,Magnemite,Electric,Steel,Magnet Pull,Sturdy,Analytic,25,35,70,95,55,45,13.2,12,They gather in places where electricity is available. They can be found clinging to the steel towers used to support power lines.,"It sends out electromagnetic waves, which let it float through the air. Touching it while it's eating electricity will give you a full-body shock.",Magnet Pokemon,,Mineral,
82,82,Magneton,Electric,Steel,Magnet Pull,Sturdy,Analytic,50,60,95,120,70,70,132.3,39,"When three Magnemite link together, their brains also become one. They do not become three times more intelligent.","It has about three times the electrical power of Magnemite. For some reason, outbreaks of this Pokemon happen when lots of sunspots appear.",Magnet Pokemon,Magnemite,Mineral,
83,83,Farfetch'd,Normal,Flying,Keen Eye,Inner Focus,Defiant,52,90,55,58,62,60,33.1,31,,,Wild Duck Pokemon,,Flying,Field
84,84,Doduo,Normal,Flying,Run Away,Early Bird,Tangled Feet,35,85,45,35,35,75,86.4,55,,,Twin Bird Pokemon,,Flying,
85,85,Dodrio,Normal,Flying,Run Away,Early Bird,Tangled Feet,60,110,70,60,60,100,187.8,71,,,Triple Bird Pokemon,Doduo,Flying,
86,86,Seel,Water,,Thick Fat,Hydration,Ice Body,65,45,55,45,70,45,198.4,43,,,Sea Lion Pokemon,,Water 1,Field
87,87,Dewgong,Water,Ice,Thick Fat,Hydration,Ice Body,90,70,80,70,95,70,264.6,67,,,Sea Lion Pokemon,Seel,Water 1,Field
88,88,Grimer,Poison,,Stench,Sticky Hold,Poison Touch,80,80,50,40,50,25,66.1,35,Its main source of food is the slimy industrial waste of factories. This Pokemon's numbers have been decreasing in recent years.,"It was born from sludge transformed by exposure to X-rays from the moon. When its internal load of germs decreases, it dies.",Sludge Pokemon,,Amorphous,
89,89,Muk,Poison,,Stench,Sticky Hold,Poison Touch,105,105,75,65,100,50,66.1,47,"The stench it gives off will make your nose scrunch up. Still, there are Muk fans who think that's a good thing.","After recent environmental improvements, this Pokemon is now hardly seen at all. People speculate that it may go extinct at some point.",Sludge Pokemon,Grimer,Amorphous,
90,90,Shellder,Water,,Shell Armor,Skill Link,Overcoat,30,65,100,45,25,40,8.8,12,"The hardness of its shell surpasses the hardness of a diamond. In days gone by, people used the shells to make shields.",This Pokemon's tongue is always hanging out. It uses its tongue with great dexterity to dig up sand from the seabed in its search for food.,Bivalve Pokemon,,Water 3,
91,91,Cloyster,Water,Ice,Shell Armor,Skill Link,Overcoat,50,95,180,85,45,70,292.1,59,Its hard shell cannot be shattered—not even by a bomb. The contents of the shell remain unknown.,Excavation of the tombs of ancient hunting tribes has turned up many spears tipped with spikes that had fallen off this Pokemon's shell.,Bivalve Pokemon,Shellder,Water 3,
92,92,Gastly,Ghost,Poison,Levitate,,,30,35,30,100,35,80,0.2,51,"Should a strange light be seen flickering in an abandoned building, Gastly is lurking there.","Although Gastly is barely visible, when it's near, a faint sweet smell lingers.",Gas Pokemon,,Amorphous,
93,93,Haunter,Ghost,Poison,Levitate,,,45,50,45,115,55,95,0.2,63,It strikes at humans from total darkness. Those licked by its cold tongue grow weaker with each passing day until they die.,It fears the light and revels in the dark. It may be on the verge of extinction in cities that stay brightly lit at night.,Gas Pokemon,Gastly,Amorphous,
94,94,Gengar,Ghost,Poison,Cursed Body,Cursed Body,Cursed Body,60,65,60,130,75,110,89.3,59,"Should you feel yourself attacked by a sudden chill, it is evidence of an approaching Gengar. There is no escaping it. Give up.","It apparently wishes for a traveling companion. Since it was once human itself, it tries to create one by taking the lives of other humans.",Shadow Pokemon,Haunter,Amorphous,
95,95,Onix,Rock,Ground,Rock Head,Sturdy,Weak Armor,35,45,160,30,45,70,463,346,,,Rock Snake Pokemon,,Mineral,
96,96,Drowzee,Psychic,,Insomnia,Forewarn,Inner Focus,60,48,45,43,90,42,71.4,39,"A Pokemon that nourishes itself by eating dreams, it is thought to share common ancestry with Munna and Musharna.","It finds really fun dreams tasty. When it makes friends with people, it may show them the most delicious dreams it's ever eaten.",Hypnosis Pokemon,,Human-Like,
97,97,Hypno,Psychic,,Insomnia,Forewarn,Inner Focus,85,73,70,73,115,67,166.7,63,"While it is an extremely dangerous Pokemon, people who are in need of a good, sound sleep call it their savior.","As a matter of course, it makes anyone it meets fall asleep and has a taste of their dreams. Anyone having a good dream, it carries off.",Hypnosis Pokemon,Drowzee,Human-Like,
98,98,Krabby,Water,,Hyper Cutter,Shell Armor,Sheer Force,30,105,90,25,25,50,14.3,16,,,River Crab Pokemon,,Water 3,
99,99,Kingler,Water,,Hyper Cutter,Shell Armor,Sheer Force,55,130,115,50,50,75,132.3,51,,,Pincer Pokemon,Krabby,Water 3,
100,100,Voltorb,Electric,,Soundproof,Static,Aftermath,40,30,50,55,55,100,22.9,20,,,Ball Pokemon,,Mineral,
101,101,Electrode,Electric,,Soundproof,Static,Aftermath,60,50,70,80,80,150,146.8,47,,,Ball Pokemon,Voltorb,Mineral,
102,102,Exeggcute,Grass,Psychic,Chlorophyll,,Harvest,60,40,80,60,45,40,5.5,16,Its six eggs use telepathy to communicate among themselves. It is believed to carry plant genes and the genes of other species.,"Six of them together form a full-fledged Pokemon. It's often hunted by Crabrawler, but uses psychokinesis to drive it off.",Egg Pokemon,,Grass,
103,103,Exeggutor,Grass,Psychic,Chlorophyll,,Harvest,95,95,85,125,75,55,264.6,79,Each of its heads has its own will. They use telepathy to discuss their plans before coming to a joint decision.,"When the time comes, one of its three heads falls off. Before long, the fallen head grows into an Exeggcute.",Coconut Pokemon,Exeggcute,Grass,
104,104,Cubone,Ground,,Rock Head,Lightning Rod,Battle Armor,50,50,95,40,50,35,14.3,16,"When it thinks of its deceased mother, it weeps loudly. Mandibuzz that hear its cries will attack it from the air.","The skull it wears on its head is that of its dead mother. According to some, it will evolve when it comes to terms with the pain of her death.",Lonely Pokemon,,Monster,
105,105,Marowak,Ground,,Rock Head,Lightning Rod,Battle Armor,60,80,110,50,80,45,99.2,39,"Originally, it was weak and timid. After evolution, its temperament becomes violent, and it begins to wield bones as weapons.","This Pokemon is out for vengeance on its natural enemy, Mandibuzz. It throws bones like boomerangs to try to take it down.",Bone Keeper Pokemon,Cubone,Monster,
106,106,Hitmonlee,Fighting,,Limber,Reckless,Unburden,50,120,53,35,110,87,109.8,59,,,Kicking Pokemon,Tyrogue,Human-Like,
107,107,Hitmonchan,Fighting,,Keen Eye,Iron Fist,Inner Focus,50,105,79,35,110,76,110.7,55,,,Punching Pokemon,Tyrogue,Human-Like,
108,108,Lickitung,Normal,,Own Tempo,Oblivious,Cloud Nine,90,55,75,60,75,30,144.4,47,,,Licking Pokemon,,Monster,
109,109,Koffing,Poison,,Levitate,,,40,65,95,60,45,35,2.2,24,,,Poison Gas Pokemon,,Amorphous,
110,110,Weezing,Poison,,Levitate,,,65,90,120,85,70,60,20.9,47,,,Poison Gas Pokemon,Koffing,Amorphous,
111,111,Rhyhorn,Ground,Rock,Lightning Rod,Rock Head,Reckless,80,85,95,30,30,25,253.5,39,,,Spikes Pokemon,,Monster,Field
112,112,Rhydon,Ground,Rock,Lightning Rod,Rock Head,Reckless,105,130,120,45,45,40,264.6,75,,,Drill Pokemon,Rhyhorn,Monster,Field
113,113,Chansey,Normal,,Natural Cure,Serene Grace,Healer,250,5,5,35,105,50,76.3,43,The eggs laid by Chansey are rich in nutrients and a favorite food of many Pokemon.,"Not only are these Pokemon fast runners, they're also few in number, so anyone who finds one must be lucky indeed.",Egg Pokemon,Happiny,Fairy,
114,114,Tangela,Grass,,Chlorophyll,Leaf Guard,Regenerator,65,55,115,100,40,60,77.2,39,,,Vine Pokemon,,Grass,
115,115,Kangaskhan,Normal,,Early Bird,Scrappy,Inner Focus,105,95,80,40,80,90,176.4,87,Kangaskhan's maternal love is so deep that it will brave death to protect its offspring.,The child in its pouch leaves home after roughly three years. That is the only time the mother is heard to cry wildly.,Parent Pokemon,,Monster,
116,116,Horsea,Water,,Swift Swim,Sniper,Damp,30,40,70,70,25,60,17.6,16,,,Dragon Pokemon,,Water 1,Dragon
117,117,Seadra,Water,,Poison Point,Sniper,Damp,55,65,95,95,45,85,55.1,47,,,Dragon Pokemon,Horsea,Water 1,Dragon
118,118,Goldeen,Water,,Swift Swim,Sniper,Damp,45,67,60,35,50,63,33.1,24,"When the weather grows warm, they form groups and swim upriver. This sight serves as a poetic reminder that spring has arrived.","Spellbound by the length of its horn and the beauty of its fins, many strange Trainers raise Goldeen and nothing but Goldeen.",Goldfish Pokemon,,Water 2,
