id	ndex	species	type1	type2	ability1	ability2	abilityH	hp	attack	defense	spattack	spdefense	speed	total	weight	height	dex1	dex2	class	percent-male	percent-female	pre-evolution	egg-group1	egg-group2
20	20	Raticate	Normal		Run Away	Guts	Hustle	55	81	60	50	70	97	413	40.8	28	'Its hind feet are webbed, so it's a strong swimmer. It can cross rivers and sometimes even oceans.'	'Its disposition is far more violent than its looks would suggest. Don't let your hand get too close to its face, as it could bite your hand clean off.'	Mouse Pokemon	0.5	0.5	Rattata	Field	
21	21	Spearow	Normal	Flying	Keen Eye	Keen Eye	Sniper	40	60	30	31	31	70	262	4.4	12	Its short wings make it inept at flying. It moves about hurriedly and pecks at Bug-type Pokemon in the tall grass.	Farmers whose fields are troubled by bug Pokemon appreciate Spearow for its vigorous appetite and look after it.	Tiny Bird Pokemon	0.5	0.5		Flying	
22	22	Fearow	Normal	Flying	Keen Eye	Keen Eye	Sniper	65	90	65	61	61	100	442	83.8	47	It's tough and has excellent stamina. It has no problem flying continuously for a whole day carrying a heavy load.	Drawings of a Pokemon resembling Fearow can be seen in murals from deep in ancient history.	Beak Pokemon	0.5	0.5	Spearow	Flying	
23	23	Ekans	Poison		Intimidate	Shed Skin	Unnerve	35	60	44	40	54	55	288	15.2	79			Snake Pokemon	0.5	0.5		Field	Dragon
24	24	Arbok	Poison		Intimidate	Shed Skin	Unnerve	60	95	69	65	79	80	448	143.3	138			Cobra Pokemon	0.5	0.5	Ekans	Field	Dragon
25	25	Pikachu	Electric		Static	Static	Lightning Rod	35	55	40	50	50	90	320	13.2	16	A plan was recently announced to gather many Pikachu and make an electric power plant.	It's in its nature to store electricity. It feels stressed now and then if it's unable to fully discharge the electricity.	Mouse Pokemon	0.5	0.5	Pichu	Field	Fairy
26	26	Raichu	Electric		Static	Static	Lightning Rod	60	90	55	90	80	110	485	66.1	31	'It unleashes electric shocks that can reach 100,000 volts. When agitated, it can knock out even an Indian elephant.'	'It becomes aggressive when it has electricity stored up. At such times, even its Trainer has to take care to avoid being attacked.'	Mouse Pokemon	0.5	0.5	Pikachu	Field	Fairy
27	27	Sandshrew	Ground		Sand Veil		Sand Rush	50	75	85	20	30	40	300	26.5	24	It can roll its body into a ball. It moves through the desert by rolling at high speeds.	'It usually makes its home in deserts and arid zones, where rain does not fall. It digs holes to catch Bug-type Pokemon.'	Mouse Pokemon	0.5	0.5		Field	
28	28	Sandslash	Ground		Sand Veil		Sand Rush	75	100	110	45	55	65	450	65	39	'Although they are sharp, its claws and spikes often break off. They grow back the next day, so it is not bothered by the temporary loss.'	'It uses its claws to climb trees and then curls its body into a spiny ball, ready to drop onto any prey that appears.'	Mouse Pokemon	0.5	0.5	Sandshrew	Field	
29	29	Nidoran (female)	Poison		Poison Point	Rivalry	Hustle	55	47	52	40	40	41	275	15.4	16			Poison Pin Pokemon	0	1		Monster	Field
30	30	Nidorina	Poison		Poison Point	Rivalry	Hustle	70	62	67	55	55	56	365	44.1	31			Poison Pin Pokemon	0	1	Nidoran (female)	Undiscovered	
31	31	Nidoqueen	Poison	Ground	Poison Point	Rivalry	Sheer Force	90	92	87	75	85	76	505	132.3	51			Drill Pokemon	0	1	Nidorina	Undiscovered	
32	32	Nidoran (male)	Poison		Poison Point	Rivalry	Hustle	46	57	40	40	40	50	273	19.8	20			Poison Pin Pokemon	1	0		Monster	Field
33	33	Nidorino	Poison		Poison Point	Rivalry	Hustle	61	72	57	55	55	65	365	43	35			Poison Pin Pokemon	1	0	Nidoran (male)	Monster	Field
34	34	Nidoking	Poison	Ground	Poison Point	Rivalry	Sheer Force	81	102	77	85	75	85	505	136.7	55			Drill Pokemon	1	0	Nidorino	Monster	Field
35	35	Clefairy	Fairy		Cute Charm	Magic Guard	Friend Guard	70	45	48	60	65	35	323	16.5	24	'Its adorable behavior and appearance make it popular with men and women, young and old. Its numbers are few, however.'	'On nights with a full moon, they gather together and dance. The surrounding area is enveloped in an abnormal magnetic field.'	Fairy Pokemon	0.25	0.75	Cleffa	Fairy	
36	36	Clefable	Fairy		Cute Charm	Magic Guard	Unaware	95	70	73	95	90	60	483	88.2	51	They don't like to reveal themselves in front of people. They live quietly in packs deep in the mountains.	'According to tradition, people who see a pair of Clefable skipping by can look forward to a happy marriage.'	Fairy Pokemon	0.25	0.75	Clefairy	Fairy	
37	37	Vulpix	Fire		Flash Fire		Drought	38	41	40	50	65	65	299	21.8	24	'Its beautiful fur and tails have made it very popular. As it grows, its tails split to form more tails.'	From its mouth spew flames that seem to resemble the spirits of the deceased. Some people mistakenly think this fire is a ghost.	Fox Pokemon	0.25	0.75		Field	
38	38	Ninetales	Fire		Flash Fire		Drought	73	76	75	81	100	100	505	43.9	43	Legend has it that this mystical Pokemon was formed when nine saints coalesced into one.	'Said to live for a thousand years, this Pokemon uses its supernatural abilities to manipulate fire. It can burn its prey to a crisp as it pleases.'	Fox Pokemon	0.25	0.75	Vulpix	Field	
39	39	Jigglypuff	Normal	Fairy	Cute Charm	Competitive	Friend Guard	115	45	20	45	25	20	270	12.1	20	'It hugely inflates its stomach and sings a mysterious melody. If you hear this melody, you'll become sleepy right away.'	'Jigglypuff possess a vocal range that exceeds 12 octaves, but each individual's singing skill depends on its own effort.'	Balloon Pokemon	0.25	0.75	Igglybuff	Fairy	
40	40	Wigglytuff	Normal	Fairy	Cute Charm	Competitive	Frisk	140	70	45	85	50	45	435	26.5	39	It sheds its fine fur when the seasons change. The fur is gathered and spun into a luxurious yarn.	'As it inhales, it expands...and expands...and expands. Wigglytuff compete to see which one can inflate itself the most.'	Balloon Pokemon	0.25	0.75	Jigglypuff	Fairy	
41	41	Zubat	Poison	Flying	Inner Focus		Infiltrator	40	45	35	30	40	55	245	16.5	31	'It sleeps in caves during the day. It has no eyes, so to check its surroundings while flying, it emits ultrasonic waves.'	'When exposed to sunlight, they suffer burns. The frequency of their ultrasonic waves can differ slightly from colony to colony.'	Bat Pokemon	0.5	0.5		Flying	
42	42	Golbat	Poison	Flying	Inner Focus		Infiltrator	75	80	70	65	75	90	455	121.3	63	'Its thick fangs are hollow like straws, making them unexpectedly fragile. These fangs are specialized for sucking blood.'	'Sometimes they drink so much blood, they can't fly anymore. Then they fall to the ground and become food for other Pokemon.'	Bat Pokemon	0.5	0.5	Zubat	Flying	
43	43	Oddish	Grass	Poison	Chlorophyll		Run Away	45	50	55	75	65	30	320	11.9	20			Weed Pokemon	0.5	0.5		Grass	
44	44	Gloom	Grass	Poison	Chlorophyll		Stench	60	65	70	85	75	40	395	19	31			Weed Pokemon	0.5	0.5	Oddish	Grass	
45	45	Vileplume	Grass	Poison	Chlorophyll		Effect Spore	75	80	85	110	90	50	490	41	47			Flower Pokemon	0.5	0.5	Gloom	Grass	
46	46	Paras	Bug	Grass	Effect Spore	Dry Skin	Damp	35	70	55	45	55	25	285	11.9	12	'No matter how much it eats, the mushrooms growing on its back steal away most of the nutrients it consumes.'	Mushrooms called tochukaso sprout from its back. They can be dried and powdered to make a medicine used to extend life.	Mushroom Pokemon	0.5	0.5		Bug	Grass
47	47	Parasect	Bug	Grass	Effect Spore	Dry Skin	Damp	60	95	80	60	80	30	405	65	39	The large mushroom on its back controls it. It often fights over territory with Shiinotic.	'It scatters toxic spores from its mushroom cap. Once harvested, these spores can be steeped and boiled down to prepare herbal medicines.'	Mushroom Pokemon	0.5	0.5	Paras	Bug	Grass
48	48	Venonat	Bug	Poison	Compound Eyes	Tinted Lens	Run Away	60	55	50	40	55	45	305	66.1	39			Insect Pokemon	0.5	0.5		Bug	
49	49	Venomoth	Bug	Poison	Shield Dust	Tinted Lens	Wonder Skin	70	65	60	90	75	90	450	27.6	59			Poison Moth Pokemon	0.5	0.5	Venonat	Bug	
50	50	Diglett	Ground		Sand Veil	Arena Trap	Sand Force	10	55	25	35	45	95	265	1.8	8	It chews on plant roots underground. Farmers whose vegetables are vulnerable find it can be quite a pest.	Many farmers cherish and nurture Diglett because its droppings enrich the soil it lives in.	Mole Pokemon	0.5	0.5		Field	
51	51	Dugtrio	Ground		Sand Veil	Arena Trap	Sand Force	35	100	50	50	70	120	425	73.4	28	This set of triplets moves cooperatively. It's the power of teamwork that enables this Pokemon to dig to a depth of 60 miles.	'Despite the closeness between this Pokemon and farmers and other people, no one has ever seen the parts of it concealed underground.'	Mole Pokemon	0.5	0.5	Diglett	Field	
52	52	Meowth	Normal		Pickup	Technician	Unnerve	40	45	35	40	40	90	290	9.3	16	'It lies around all day, becoming active near dusk. At night, it wanders the city in search of loose change.'	It loves shiny things. It often fights with Murkrow over prey they're both trying to catch.	Scratch Cat Pokemon	0.5	0.5		Field	
53	53	Persian	Normal		Limber	Technician	Unnerve	65	70	60	65	65	115	440	70.5	39	It has a violent temperament. It will attack anything that looks it in the eye. Its sharp claws inflict deep wounds.	'It has a high opinion of itself, although not to the same extent as the Alolan Persian. It's quite difficult to make friends with this Pokemon.'	Classy Cat Pokemon	0.5	0.5	Meowth	Field	
54	54	Psyduck	Water		Damp	Cloud Nine	Swift Swim	50	52	48	65	50	55	320	43.2	31	'As a result of headaches so fierce they cause it to cry, it sometimes uses psychokinesis without meaning to.'	'This Pokemon is troubled by constant headaches. The more pain it's in, the more powerful its psychokinesis becomes.'	Duck Pokemon	0.5	0.5		Water 1	Field
55	55	Golduck	Water		Damp	Cloud Nine	Swift Swim	80	82	78	95	80	85	500	168.9	67	'It is said that the red part of its forehead grants supernatural powers to those who possess one, so it was over-hunted in the past.'	It swims along the banks of lakes and catches fish Pokemon. It takes them to the shore and quietly eats them up.	Duck Pokemon	0.5	0.5	Psyduck	Water 1	Field
56	56	Mankey	Fighting		Vital Spirit	Anger Point	Defiant	40	80	35	35	45	70	305	61.7	20	'It can spontaneously become enraged. Everyone near it clears out as it rampages, and the resulting loneliness makes it angrier still.'	'Its raging tires it out and causes it to fall asleep, but the anger resonating in its dreams causes it to wake up—which infuriates it all over again.'	Pig Monkey Pokemon	0.5	0.5		Field	
57	57	Primeape	Fighting		Vital Spirit	Anger Point	Defiant	65	105	60	60	70	95	455	70.5	39	'It has been known to become so angry that it dies as a result. Its face looks peaceful in death, however.'	Some researchers theorize that Primeape remains angry even when inside a Poke Ball.	Pig Monkey Pokemon	0.5	0.5	Mankey	Field	
58	58	Growlithe	Fire		Intimidate	Flash Fire	Justified	55	70	45	70	50	60	350	41.9	28	'It's both clever and loyal, but if a stranger tries to invade its territory, it barks threateningly.'	'It looks cute, but when you approach another Trainer's Growlithe, it will bark at you and bite.'	Puppy Pokemon	0.75	0.25		Field	
59	59	Arcanine	Fire		Intimidate	Flash Fire	Justified	90	110	80	100	80	95	555	341.7	75	'Overflowing with beauty and majesty, this strong Pokemon appears in ancient Eastern folklore.'	The fire burning inside its body serves as the energy to fuel it as it runs great distances. It appears in many legends.	Legendary Pokemon	0.75	0.25	Growlithe	Field	
60	60	Poliwag	Water		Water Absorb	Damp	Swift Swim	40	50	40	40	40	90	300	27.3	24	'The swirl on its belly is its internal organs showing through. If the swirl is tinged white, that means it's affected by some disease.'	It's still not very good at walking. Its Trainers should train this Pokemon to walk every day.	Tadpole Pokemon	0.5	0.5		Water 1	
61	61	Poliwhirl	Water		Water Absorb	Damp	Swift Swim	65	65	65	50	50	90	385	44.1	39	'Although it can live on land, it prefers to stay in the water, where it has fewer natural enemies.'	It marches over the land in search of bug Pokemon to eat. Then it takes them underwater so it can dine on them where it's safe.	Tadpole Pokemon	0.5	0.5	Poliwag	Water 1	
62	62	Poliwrath	Water	Fighting	Water Absorb	Damp	Swift Swim	90	95	95	70	90	70	510	119	51	Poliwrath in the Alola region are strong swimmers that use the breaststroke. Many children learn to swim by imitating Poliwrath.	'Its percentage of body fat is nearly zero. Its body is entirely muscle, which makes it heavy and forces its swimming prowess to develop.'	Tadpole Pokemon	0.5	0.5	Poliwhirl	Water 1	
63	63	Abra	Psychic		Synchronize	Inner Focus	Magic Guard	25	20	15	105	55	90	310	43	35	'It sleeps 18 hours a day. Even while sleeping, it will teleport itself to treetops and pick and eat berries there.'	'It can teleport itself to safety while it's asleep, but when it wakes, it doesn't know where it is, so it panics.'	Psi Pokemon	0.75	0.25		Human-Like	
64	64	Kadabra	Psychic		Synchronize	Inner Focus	Magic Guard	40	35	30	120	70	105	400	124.6	51	A theory exists that this Pokemon was a young boy who couldn't control his psychic powers and ended up transformed into this Pokemon.	Kadabra's presence infests televisions and monitors with creepy shadows that bring bad luck.	Psi Pokemon	0.75	0.25	Abra	Human-Like	
65	65	Alakazam	Psychic		Synchronize	Inner Focus	Magic Guard	55	50	45	135	95	120	500	105.8	59	'It is said to have an IQ of approximately 5,000. Its overflowing psychokinetic powers cause headaches to anyone nearby.'	'Its brain cells continue to increase in number until its death. The older the Alakazam, the larger its head.'	Psi Pokemon	0.75	0.25	Kadabra	Human-Like	
66	66	Machop	Fighting		Guts	No Guard	Steadfast	70	80	50	35	35	35	305	43	31	'It loves working out. As it gazes at its muscles, which continue to swell day by day, it becomes more and more dedicated to its training.'	'With its superhuman strength, it's able to throw a hundred people all at the same time. Its strength comes from lifting Graveler every day.'	Superpower Pokemon	0.75	0.25		Human-Like	
67	67	Machoke	Fighting		Guts	No Guard	Steadfast	80	100	70	50	60	45	405	155.4	59	'As a result of its continual workouts, it has developed tremendous power. It uses that power to help people with their work.'	It willingly assists with hard labor because it knows the work is good training for its muscles.	Superpower Pokemon	0.75	0.25	Machop	Human-Like	
68	68	Machamp	Fighting		Guts	No Guard	Steadfast	90	130	80	65	85	55	505	286.6	63	It unleashes megaton-level punches that send opponents flying clear over the horizon.	It can lift heavy loads with the greatest of ease. It can even heft dump trucks. But its clumsy fingers prevent it from doing any precision work.	Superpower Pokemon	0.75	0.25	Machoke	Human-Like	
69	69	Bellsprout	Grass	Poison	Chlorophyll		Gluttony	50	75	35	70	30	40	300	8.8	28			Flower Pokemon	0.5	0.5		Grass	
70	70	Weepinbell	Grass	Poison	Chlorophyll		Gluttony	65	90	50	85	45	55	390	14.1	39			Flycatcher Pokemon	0.5	0.5	Bellsprout	Grass	
71	71	Victreebel	Grass	Poison	Chlorophyll		Gluttony	80	105	65	100	70	70	490	34.2	67			Flycatcher Pokemon	0.5	0.5	Weepinbell	Grass	
72	72	Tentacool	Water	Poison	Clear Body	Liquid Ooze	Rain Dish	40	40	35	50	100	70	335	100.3	35	'They can be found lying dehydrated on beaches, but they are often still alive. When soaked in water, they will revive.'	'It drifts in shallow seas, such as the areas near beaches. If you get bitten or stabbed by its toxic tentacles, rush to the hospital.'	Jellyfish Pokemon	0.5	0.5		Water 3	
73	73	Tentacruel	Water	Poison	Clear Body	Liquid Ooze	Rain Dish	80	70	65	80	120	100	515	121.3	63	'Normally, it has 80 poisonous tentacles. The longer one has been alive, the fewer tentacles it will have.'	'Although these Pokemon are rare, when a large outbreak of them occurs, all fish Pokemon disappear from the surrounding sea.'	Jellyfish Pokemon	0.5	0.5	Tentacool	Water 3	
74	74	Geodude	Rock	Ground	Rock Head	Sturdy	Sand Veil	40	80	100	30	30	20	300	44.1	16	'Its round body makes it easy to pick up, but it is hard and heavy. It's dangerous to play with them as if they were snowballs.'	There are plenty of them to be found along any road. A scholar with too much free time once counted a hundred of them along a single route.	Rock Pokemon	0.5	0.5		Mineral	
75	75	Graveler	Rock	Ground	Rock Head	Sturdy	Sand Veil	55	95	115	45	45	35	390	231.5	39	Mossy rocks are its favorite food. It can devour a ton a day while crunching loudly.	'This slow-footed Pokemon moves by curling up and rolling instead of walking. With enough momentum, its speed can exceed 60 mph.'	Rock Pokemon	0.5	0.5	Geodude	Mineral	
76	76	Golem	Rock	Ground	Rock Head	Sturdy	Sand Veil	80	120	130	55	65	45	495	661.4	55	'Its body can survive dynamite blasts without a single scratch, but it hates rain and humidity.'	'Once a year, this Pokemon molts, and its shed shell returns to the soil. This process creates enriched soil, so farmers collect the shells.'	Megaton Pokemon	0.5	0.5	Graveler	Mineral	
77	77	Ponyta	Fire		Run Away	Flash Fire	Flame Body	50	85	55	65	65	90	410	66.1	39			Fire Horse Pokemon	0.5	0.5		Field	
78	78	Rapidash	Fire		Run Away	Flash Fire	Flame Body	65	100	70	80	80	105	500	209.4	67			Fire Horse Pokemon	0.5	0.5	Ponyta	Field	
79	79	Slowpoke	Water	Psychic	Oblivious	Own Tempo	Regenerator	90	65	65	40	40	15	315	79.4	47	'Its long tail often breaks off. It doesn't really feel any pain, though, and the tail grows back, so Slowpoke isn't particularly bothered.'	Alolan home cooking involves drying Slowpoke tails and then simmering them into a salty stew.	Dopey Pokemon	0.5	0.5		Monster	Water 1
80	80	Slowbro	Water	Psychic	Oblivious	Own Tempo	Regenerator	95	75	110	100	80	30	490	173.1	63	'It spaces out while gazing at the sea. With Shellder's poison flowing through its body, it becomes even spacier.'	'Whenever Shellder bites down hard on its tail, it gives Slowbro a flash of inspiration...which it forgets a moment later.'	Hermit Crab Pokemon	0.5	0.5	Slowpoke	Monster	Water 1
81	81	Magnemite	Electric	Steel	Magnet Pull	Sturdy	Analytic	25	35	70	95	55	45	325	13.2	12	They gather in places where electricity is available. They can be found clinging to the steel towers used to support power lines.	'It sends out electromagnetic waves, which let it float through the air. Touching it while it's eating electricity will give you a full-body shock.'	Magnet Pokemon				Mineral	
82	82	Magneton	Electric	Steel	Magnet Pull	Sturdy	Analytic	50	60	95	120	70	70	465	132.3	39	'When three Magnemite link together, their brains also become one. They do not become three times more intelligent.'	'It has about three times the electrical power of Magnemite. For some reason, outbreaks of this Pokemon happen when lots of sunspots appear.'	Magnet Pokemon			Magnemite	Mineral	
83	83	Farfetch'd	Normal	Flying	Keen Eye	Inner Focus	Defiant	52	90	55	58	62	60	377	33.1	31			Wild Duck Pokemon	0.5	0.5		Flying	Field
84	84	Doduo	Normal	Flying	Run Away	Early Bird	Tangled Feet	35	85	45	35	35	75	310	86.4	55			Twin Bird Pokemon	0.5	0.5		Flying	
85	85	Dodrio	Normal	Flying	Run Away	Early Bird	Tangled Feet	60	110	70	60	60	100	460	187.8	71			Triple Bird Pokemon	0.5	0.5	Doduo	Flying	
86	86	Seel	Water		Thick Fat	Hydration	Ice Body	65	45	55	45	70	45	325	198.4	43			Sea Lion Pokemon	0.5	0.5		Water 1	Field
87	87	Dewgong	Water	Ice	Thick Fat	Hydration	Ice Body	90	70	80	70	95	70	475	264.6	67			Sea Lion Pokemon	0.5	0.5	Seel	Water 1	Field
88	88	Grimer	Poison		Stench	Sticky Hold	Poison Touch	80	80	50	40	50	25	325	66.1	35	Its main source of food is the slimy industrial waste of factories. This Pokemon's numbers have been decreasing in recent years.	'It was born from sludge transformed by exposure to X-rays from the moon. When its internal load of germs decreases, it dies.'	Sludge Pokemon	0.5	0.5		Amorphous	
89	89	Muk	Poison		Stench	Sticky Hold	Poison Touch	105	105	75	65	100	50	500	66.1	47	'The stench it gives off will make your nose scrunch up. Still, there are Muk fans who think that's a good thing.'	'After recent environmental improvements, this Pokemon is now hardly seen at all. People speculate that it may go extinct at some point.'	Sludge Pokemon	0.5	0.5	Grimer	Amorphous	
90	90	Shellder	Water		Shell Armor	Skill Link	Overcoat	30	65	100	45	25	40	305	8.8	12	'The hardness of its shell surpasses the hardness of a diamond. In days gone by, people used the shells to make shields.'	This Pokemon's tongue is always hanging out. It uses its tongue with great dexterity to dig up sand from the seabed in its search for food.	Bivalve Pokemon	0.5	0.5		Water 3	
91	91	Cloyster	Water	Ice	Shell Armor	Skill Link	Overcoat	50	95	180	85	45	70	525	292.1	59	Its hard shell cannot be shattered—not even by a bomb. The contents of the shell remain unknown.	Excavation of the tombs of ancient hunting tribes has turned up many spears tipped with spikes that had fallen off this Pokemon's shell.	Bivalve Pokemon	0.5	0.5	Shellder	Water 3	
92	92	Gastly	Ghost	Poison	Levitate			30	35	30	100	35	80	310	0.2	51	'Should a strange light be seen flickering in an abandoned building, Gastly is lurking there.'	'Although Gastly is barely visible, when it's near, a faint sweet smell lingers.'	Gas Pokemon	0.5	0.5		Amorphous	
93	93	Haunter	Ghost	Poison	Levitate			45	50	45	115	55	95	405	0.2	63	It strikes at humans from total darkness. Those licked by its cold tongue grow weaker with each passing day until they die.	It fears the light and revels in the dark. It may be on the verge of extinction in cities that stay brightly lit at night.	Gas Pokemon	0.5	0.5	Gastly	Amorphous	
94	94	Gengar	Ghost	Poison	Cursed Body	Cursed Body	Cursed Body	60	65	60	130	75	110	500	89.3	59	'Should you feel yourself attacked by a sudden chill, it is evidence of an approaching Gengar. There is no escaping it. Give up.'	'It apparently wishes for a traveling companion. Since it was once human itself, it tries to create one by taking the lives of other humans.'	Shadow Pokemon	0.5	0.5	Haunter	Amorphous	
95	95	Onix	Rock	Ground	Rock Head	Sturdy	Weak Armor	35	45	160	30	45	70	385	463	346			Rock Snake Pokemon	0.5	0.5		Mineral	
96	96	Drowzee	Psychic		Insomnia	Forewarn	Inner Focus	60	48	45	43	90	42	328	71.4	39	'A Pokemon that nourishes itself by eating dreams, it is thought to share common ancestry with Munna and Musharna.'	'It finds really fun dreams tasty. When it makes friends with people, it may show them the most delicious dreams it's ever eaten.'	Hypnosis Pokemon	0.5	0.5		Human-Like	
97	97	Hypno	Psychic		Insomnia	Forewarn	Inner Focus	85	73	70	73	115	67	483	166.7	63	'While it is an extremely dangerous Pokemon, people who are in need of a good, sound sleep call it their savior.'	'As a matter of course, it makes anyone it meets fall asleep and has a taste of their dreams. Anyone having a good dream, it carries off.'	Hypnosis Pokemon	0.5	0.5	Drowzee	Human-Like	
98	98	Krabby	Water		Hyper Cutter	Shell Armor	Sheer Force	30	105	90	25	25	50	325	14.3	16			River Crab Pokemon	0.5	0.5		Water 3	
99	99	Kingler	Water		Hyper Cutter	Shell Armor	Sheer Force	55	130	115	50	50	75	475	132.3	51			Pincer Pokemon	0.5	0.5	Krabby	Water 3	
100	100	Voltorb	Electric		Soundproof	Static	Aftermath	40	30	50	55	55	100	330	22.9	20			Ball Pokemon				Mineral	
101	101	Electrode	Electric		Soundproof	Static	Aftermath	60	50	70	80	80	150	490	146.8	47			Ball Pokemon			Voltorb	Mineral	
102	102	Exeggcute	Grass	Psychic	Chlorophyll		Harvest	60	40	80	60	45	40	325	5.5	16	Its six eggs use telepathy to communicate among themselves. It is believed to carry plant genes and the genes of other species.	'Six of them together form a full-fledged Pokemon. It's often hunted by Crabrawler, but uses psychokinesis to drive it off.'	Egg Pokemon	0.5	0.5		Grass	
103	103	Exeggutor	Grass	Psychic	Chlorophyll		Harvest	95	95	85	125	75	55	530	264.6	79	Each of its heads has its own will. They use telepathy to discuss their plans before coming to a joint decision.	'When the time comes, one of its three heads falls off. Before long, the fallen head grows into an Exeggcute.'	Coconut Pokemon	0.5	0.5	Exeggcute	Grass	
104	104	Cubone	Ground		Rock Head	Lightning Rod	Battle Armor	50	50	95	40	50	35	320	14.3	16	'When it thinks of its deceased mother, it weeps loudly. Mandibuzz that hear its cries will attack it from the air.'	'The skull it wears on its head is that of its dead mother. According to some, it will evolve when it comes to terms with the pain of her death.'	Lonely Pokemon	0.5	0.5		Monster	
105	105	Marowak	Ground		Rock Head	Lightning Rod	Battle Armor	60	80	110	50	80	45	425	99.2	39	'Originally, it was weak and timid. After evolution, its temperament becomes violent, and it begins to wield bones as weapons.'	'This Pokemon is out for vengeance on its natural enemy, Mandibuzz. It throws bones like boomerangs to try to take it down.'	Bone Keeper Pokemon	0.5	0.5	Cubone	Monster	
106	106	Hitmonlee	Fighting		Limber	Reckless	Unburden	50	120	53	35	110	87	455	109.8	59			Kicking Pokemon	1	0	Tyrogue	Human-Like	
107	107	Hitmonchan	Fighting		Keen Eye	Iron Fist	Inner Focus	50	105	79	35	110	76	455	110.7	55			Punching Pokemon	1	0	Tyrogue	Human-Like	
108	108	Lickitung	Normal		Own Tempo	Oblivious	Cloud Nine	90	55	75	60	75	30	385	144.4	47			Licking Pokemon	0.5	0.5		Monster	
